material_id,formula,band_gap,formation_energy_per_atom,energy_above_hull,volume,density,nsites,elements,cbm,vbm,crystal_system,spacegroup,is_stable,cif_path
mp-1035429,Mg14TiCuO16,0.0,-2.879729680104166,0.11498513289062501,311.0308031300998,3.77814452866944,32,"['Cu', 'Mg', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1035429.cif
mp-1035770,Mg14TiFeO16,0.142599999999999,-2.874906876666666,0.119807936328125,314.5976296570523,3.694660754465432,32,"['Fe', 'Mg', 'O', 'Ti']",8.6839,8.5413,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1035770.cif
mp-1035958,YMg14TiO16,0.0,-2.914209718229166,0.14862403388671902,332.6541141725506,3.659147134763457,32,"['Mg', 'O', 'Ti', 'Y']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1035958.cif
mp-1036209,Mg14TiMnO16,0.0,-2.905826184102011,0.08888862889278,316.7637989739211,3.664640610110195,32,"['Mg', 'Mn', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1036209.cif
mp-1036369,CaMg14TiO16,0.0,-2.9633266963541662,0.08356730687500101,321.4678726150004,3.53425612032891,32,"['Ca', 'Mg', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1036369.cif
mp-1036531,Mg14TiAlO16,0.0,-2.902568101979167,0.125354433625,314.56300778173556,3.54270077193249,32,"['Al', 'Mg', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1036531.cif
mp-1036724,Mg30TiSnO32,0.0,-2.909662448098958,0.10684954339843701,639.2922185887152,3.656471529432756,64,"['Mg', 'O', 'Sn', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1036724.cif
mp-1036721,Mg30TiSnO32,0.093499999999998,-2.911044170755207,0.10546782074218701,638.2421566317033,3.662487305122373,64,"['Mg', 'O', 'Sn', 'Ti']",8.620800000000001,8.5273,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1036721.cif
mp-1036804,Mg30TiVO32,0.0,-2.9742795323958333,0.042232459101562,623.1592176288215,3.570550657966788,64,"['Mg', 'O', 'Ti', 'V']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1036804.cif
mp-1036800,Mg30TiVO32,0.0,-2.9732726494270842,0.043239342070312006,599.7416844211826,3.70996649444177,64,"['Mg', 'O', 'Ti', 'V']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1036800.cif
mp-1036996,Mg30TiFeO32,0.6284999999999991,-2.954632995677084,0.061878995820312005,623.696954762855,3.580527355123666,64,"['Fe', 'Mg', 'O', 'Ti']",8.0054,7.3769,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1036996.cif
mp-1037122,Mg30TiCoO32,0.44559999999999905,-2.9655702588020842,0.050941732695312006,621.0191819600245,3.604223736236523,64,"['Co', 'Mg', 'O', 'Ti']",7.8494,7.4038,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1037122.cif
mp-1037160,Mg30TiCoO32,0.039799999999999,-2.958552300208333,0.057959691289062004,622.9408994319667,3.5931050254037142,64,"['Co', 'Mg', 'O', 'Ti']",7.2795,7.2397,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1037160.cif
mp-1037199,Mg30TiNiO32,0.631899999999999,-2.958468695677083,0.05804329582031201,619.4721096814307,3.612582152348863,64,"['Mg', 'Ni', 'O', 'Ti']",8.1221,7.4902,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1037199.cif
mp-1037311,Mg30TiCuO32,0.5640000000000001,-2.963554499895832,0.052957491601563,621.9445688103548,3.6111768344301742,64,"['Cu', 'Mg', 'O', 'Ti']",7.982,7.418,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1037311.cif
mp-1037342,Mg30TiZnO32,0.0,-2.961540656302083,0.054971335195312006,621.184576383223,3.620575089876676,64,"['Mg', 'O', 'Ti', 'Zn']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1037342.cif
mp-1037361,Mg30TiCuO32,0.2068,-2.958739654427082,0.057772337070312006,621.3804082498036,3.6144554758551592,64,"['Cu', 'Mg', 'O', 'Ti']",7.564,7.3572,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1037361.cif
mp-1037362,Mg30TiZnO32,0.0,-2.9623840534895822,0.05412793800781301,621.9582492061315,3.616071346170547,64,"['Mg', 'O', 'Ti', 'Zn']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1037362.cif
mp-1037467,Mg30TiNiO32,0.2083,-2.951897933020833,0.064614058476562,620.8351215187337,3.60465091252977,64,"['Mg', 'Ni', 'O', 'Ti']",7.5334,7.3251,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1037467.cif
mp-1037674,YMg30TiO32,0.0,-2.9729847856770832,0.077586675380859,637.8103448755276,3.5873717935419522,64,"['Mg', 'O', 'Ti', 'Y']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1037674.cif
mp-1037668,YMg30TiO32,0.0,-2.974262237864583,0.076309223193359,636.892657503154,3.592540774148274,64,"['Mg', 'O', 'Ti', 'Y']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1037668.cif
mp-1037796,CaMg30TiO32,0.0,-2.998747879270833,0.043853707343750006,631.9537087502428,3.4923163798455983,64,"['Ca', 'Mg', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1037796.cif
mp-1037799,Mg30TiFeO32,0.0,-2.954431794270833,0.062080197226562,623.076348195156,3.584093689809378,64,"['Fe', 'Mg', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1037799.cif
mp-1037872,CaMg30TiO32,0.0,-2.999444523958333,0.043157062656249,607.6776299474866,3.631830726701865,64,"['Ca', 'Mg', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1037872.cif
mp-1038112,Mg30TiMnO32,0.0,-2.969158904863505,0.047353086633890006,624.3856612873341,3.574165955421584,64,"['Mg', 'Mn', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1038112.cif
mp-1038173,Mg30TiMnO32,0.0,-2.967114789082255,0.04939720241514001,624.7523230950937,3.572068307918721,64,"['Mg', 'Mn', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1038173.cif
mp-1038237,Mg30TiAlO32,0.0,-2.9737800997395833,0.0593357530625,620.0821249576944,3.524105944406667,64,"['Al', 'Mg', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1038237.cif
mp-1038238,Mg30TiAlO32,0.0,-2.9707775269270833,0.062338325874999004,622.0044040890572,3.513214839345176,64,"['Al', 'Mg', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1038238.cif
mp-1040310,Mg30TiBO32,0.0,-2.9016493048828123,0.12641295813672002,623.21019656912,3.463331157597772,64,"['B', 'Mg', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1040310.cif
mp-1040307,Mg30TiCdO32,0.0,-2.938483808177083,0.078028183320312,631.8259307899887,3.683125283837905,64,"['Cd', 'Mg', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1040307.cif
mp-1040304,HfMg30TiO32,0.0,-2.9446507744270822,0.09349448211588501,638.6217721419905,3.815749678382538,64,"['Hf', 'Mg', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1040304.cif
mp-1040333,Mg30TiCO32,0.300899999999999,-2.865786267786458,0.150725723710937,622.8227691475353,3.468684106050902,64,"['C', 'Mg', 'O', 'Ti']",7.795,7.4941,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1040333.cif
mp-1040299,HfMg30TiO32,0.0,-2.952756931302082,0.08538832524088501,638.864067628311,3.814302517756596,64,"['Hf', 'Mg', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1040299.cif
mp-1040308,Mg30TiBO32,0.5093000000000001,-2.906259279257812,0.12180298376172001,623.438387583165,3.46206350859738,64,"['B', 'Mg', 'O', 'Ti']",7.852,7.3427,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1040308.cif
mp-1040321,Mg30TiCdO32,0.0,-2.939892580052083,0.07661941144531201,632.456437054853,3.679453515428757,64,"['Cd', 'Mg', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1040321.cif
mp-1040361,LiMg30TiO32,0.233799999999999,-3.017730840260416,0.016893815859375,616.8232865791098,3.488773935980005,64,"['Li', 'Mg', 'O', 'Ti']",7.5253,7.2915,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1040361.cif
mp-1040416,CsMg30TiO32,0.0,-2.881419870202944,0.138258921992187,652.7215785971384,3.617355356598106,64,"['Cs', 'Mg', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1040416.cif
mp-1040356,SrMg30TiO32,0.0,-2.9692949559895823,0.068616667921872,640.9277305742364,3.566591875544031,64,"['Mg', 'O', 'Sr', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1040356.cif
mp-1040382,Mg30TiNbO32,0.298799999999999,-2.932613284583333,0.08389870691406201,629.8998786637543,3.642969231960704,64,"['Mg', 'Nb', 'O', 'Ti']",8.6588,8.36,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1040382.cif
mp-1040392,BaMg30TiO32,0.0,-2.921751209739582,0.11349247831676201,652.9524200512469,3.627321041056165,64,"['Ba', 'Mg', 'O', 'Ti']",,,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1040392.cif
mp-1040370,SrMg30TiO32,0.103799999999999,-2.9686787684895832,0.069232855421872,641.2862899087985,3.564597704095688,64,"['Mg', 'O', 'Sr', 'Ti']",8.7523,8.6485,Tetragonal,P4/mmm,False,data\candidates\cif\mp-1040370.cif
mp-672,CdS,1.125,-0.7766083889062491,0.0,102.03892478274858,4.702284793707707,4,"['Cd', 'S']",1.9853,0.8603000000000001,Hexagonal,P6_3mc,True,data\candidates\cif\mp-672.cif
mp-1095440,CdS2,1.1625,-0.46697219187499905,0.050766734062502004,256.4655668126394,4.572204074019703,12,"['Cd', 'S']",4.6364,3.4739,Cubic,Pa-3,False,data\candidates\cif\mp-1095440.cif
mp-2469,CdS,1.0492,-0.7738951664062481,0.0027132225,50.977693339587724,4.70613765491418,2,"['Cd', 'S']",1.9171,0.8679,Cubic,F-43m,False,data\candidates\cif\mp-2469.cif
mp-370,CdS,0.27930000000000005,-0.643201676406249,0.133406712499999,41.7411202066207,5.74752285033426,2,"['Cd', 'S']",3.0048,2.7255000000000003,Cubic,Fm-3m,False,data\candidates\cif\mp-370.cif
mp-1181862,CdS,0.2766,-0.642430023906248,0.13417836500000002,83.75543759042172,5.728775327025155,4,"['Cd', 'S']",2.9739,2.6973000000000003,Orthorhombic,Pmmn,False,data\candidates\cif\mp-1181862.cif
mp-530870,Tb6CdS10,0.9996,-2.150178460441175,0.046222424705880005,1474.9998040950475,6.244137026776066,68,"['Cd', 'S', 'Tb']",5.399,4.3994,Triclinic,P1,False,data\candidates\cif\mp-530870.cif
mp-971712,ZnCdS2,1.368599999999999,-0.8494902226562481,0.020163146607144,89.42935917905643,4.492567439284081,4,"['Cd', 'S', 'Zn']",2.7628,1.3942,Tetragonal,P-4m2,False,data\candidates\cif\mp-971712.cif
mp-34735,Ho2CdS4,0.6562,-1.814121167142854,0.130463719999999,166.410816993751,5.69307989748613,7,"['Cd', 'Ho', 'S']",3.511,2.8548,Tetragonal,I-4m2,False,data\candidates\cif\mp-34735.cif
mp-5328,CdPS3,1.756199999999999,-0.5271939382827381,0.0,230.0018155238127,3.459377513709595,10,"['Cd', 'P', 'S']",3.5355,1.7793,Monoclinic,C2/m,True,data\candidates\cif\mp-5328.cif
mp-34376,Tb2CdS4,2.0749,-1.843084071190475,0.09967963892856901,300.0626104460115,6.181690554616535,14,"['Cd', 'S', 'Tb']",5.7857,3.7108,Tetragonal,I-42d,False,data\candidates\cif\mp-34376.cif
mp-34145,Ce2CdS4,0.0,-1.832684141607146,0.110238528571429,315.0176083360897,5.491628140902523,14,"['Cd', 'Ce', 'S']",,,Tetragonal,I-42d,False,data\candidates\cif\mp-34145.cif
